area type,availability,location,size,society,total sqft,bath,balcony,price
plot  area,18 mar,electronic city phase ii,4 Bedroom,grrvagr,6000,4.0,2.0,260.0
plot  area,18 feb,ramamurthy nagar,2 Bedroom,grrvagr,1200,2.0,1.0,76.0
super built up  area,18 jan,kengeri satellite town,2 BHK,v6estde,1255 - 1350,2.0,0.0,44.285
super built up  area,ready to move,kengeri,2 BHK,grrvagr,725,2.0,1.0,30.0
super built up  area,ready to move,jakkur,3 BHK,hraniib,1645,3.0,1.0,100.0
built up  area,ready to move,sultan palaya,2 BHK,grrvagr,870,2.0,1.0,65.0
super built up  area,ready to move,marathahalli,2 BHK,grrvagr,1026,2.0,1.0,49.95
built up  area,18 jul,bennigana halli,3 BHK,grrvagr,2000,3.0,1.0,145.0
super built up  area,ready to move,cooke town,2 BHK,grrvagr,1710,2.0,2.0,200.0
super built up  area,18 apr,hosur road,3 BHK,puendwe,1766,3.0,1.0,130.0
super built up  area,ready to move,makali,1 BHK,grrvagr,500,1.0,1.0,15.0
built up  area,18 apr,jp nagar,2 BHK,grrvagr,1100,1.0,1.0,15.0
super built up  area,ready to move,jigani,3 BHK,dlhtsen,1221,3.0,3.0,52.0
super built up  area,ready to move,rachenahalli,1 BHK,grrvagr,680,1.0,1.0,46.0
super built up  area,ready to move,sarjapur  road,2 BHK,adeatlm,1278,2.0,2.0,90.0
super built up  area,ready to move,kodichikkanahalli,2 BHK,pentyvb,1025,2.0,2.0,66.0
super built up  area,18 aug,whitefield,2 BHK,ssdhimr,1175,2.0,1.0,39.0
super built up  area,19 jul,sarjapur  road,2 BHK,sasta s,870 - 1080,2.0,0.0,28.275
built up  area,ready to move,6th phase jp nagar,1 Bedroom,grrvagr,600,1.0,1.0,75.0
super built up  area,ready to move,seethappa layout,2 BHK,grrvagr,850,2.0,1.0,42.0
super built up  area,ready to move,anjanapura,2 BHK,grrvagr,710,2.0,0.0,25.0
built up  area,18 dec,huskur,2 BHK,grrvagr,1165,2.0,1.0,33.64
super built up  area,18 apr,sarjapur,1 BHK,snityve,625,1.0,1.0,19.0
super built up  area,ready to move,kaggadasapura,3 BHK,grrvagr,1340,3.0,1.0,66.0
super built up  area,ready to move,ananth nagar,2 BHK,patri m,937,2.0,1.0,35.0
plot  area,ready to move,lakkasandra,7 Bedroom,grrvagr,1500,6.0,0.0,210.0
super built up  area,ready to move,jp nagar,1 BHK,brine j,750,1.0,1.0,52.5
built up  area,ready to move,judicial layout,5 Bedroom,grrvagr,45Sq. Yards,6.0,3.0,400.0
built up  area,ready to move,shampura,3 BHK,koillph,1475,3.0,3.0,78.0
plot  area,ready to move,singapura village,4 Bedroom,grrvagr,2230,4.0,1.0,130.0
plot  area,ready to move,jnanabharathi layout,4 Bedroom,grrvagr,2200,5.0,1.0,100.0
plot  area,ready to move,mysore road,2 Bedroom,sragegl,900,2.0,0.0,65.0
super built up  area,ready to move,electronic city phase ii,2 BHK,mjtroty,1116,2.0,2.0,37.0
built up  area,ready to move,hoodi,2 BHK,grrvagr,948,2.0,1.0,75.0
super built up  area,ready to move,r.t. nagar,2 BHK,grrvagr,970,2.0,1.0,55.0
super built up  area,ready to move,akshayanagara east,3 BHK,grrvagr,1519,3.0,2.0,67.23
super built up  area,ready to move,thanisandra,3 BHK,grrvagr,1200,2.0,1.0,65.0
super built up  area,ready to move,bhoganhalli,3 BHK,pride s,1760,3.0,2.0,127.0
plot  area,ready to move,whitefield,4 Bedroom,chllea,4400,5.0,3.0,525.0
super built up  area,ready to move,sahakara nagar,3 BHK,hoacela,1914,3.0,3.0,179.0
super built up  area,ready to move,budigere,3 BHK,pritytr,1820,3.0,2.0,85.5
built up  area,ready to move,kalena agrahara,3 BHK,rahidhi,1565,3.0,2.0,78.0
super built up  area,ready to move,begur road,2 BHK,nihtsur,1334,2.0,3.0,42.69
super built up  area,19 mar,sarakki nagar,2 BHK,grrvagr,924,2.0,2.0,76.23
super built up  area,ready to move,jigani,2 BHK,dlhtsan,914,2.0,2.0,49.0
built up  area,ready to move,kengeri,1 BHK,grrvagr,500,1.0,1.0,17.0
super built up  area,18 mar,yelahanka,3 BHK,miitat,2145,3.0,3.0,125.0
plot  area,ready to move,yelahanka,5 Bedroom,grrvagr,1200,5.0,2.0,162.0
built up  area,18 apr,electronic city,3 BHK,grrvagr,1650,3.0,2.0,100.0
super built up  area,ready to move,marathahalli,4 BHK,puerari,3940,4.0,3.0,220.0
built up  area,18 dec,electronic city,2 BHK,grrvagr,1020,2.0,1.0,29.45
built up  area,ready to move,basaveshwara nagar,2 BHK,grrvagr,1180,2.0,3.0,58.0
super built up  area,ready to move,ulsoor,2 BHK,rilor c,1255,2.0,3.0,120.0
super built up  area,20 jul,langford gardens,3 BHK,soond r,2777.29,5.0,2.0,650.0
super built up  area,ready to move,bommasandra,2 BHK,heatee,1014,2.0,1.0,35.0
built up  area,ready to move,shampura,4 Bedroom,grrvagr,920,2.0,0.0,90.0
super built up  area,ready to move,attibele,2 BHK,inenshe,695,1.0,1.0,25.0
plot  area,ready to move,prithvi layout,3 Bedroom,prigh l,2273,4.0,3.0,220.0
super built up  area,18 mar,gm palaya,2 BHK,grrvagr,1140,2.0,2.0,48.95
built up  area,ready to move,giri nagar,6 Bedroom,grrvagr,3000,4.0,1.0,375.0
super built up  area,20 aug,begur road,4 BHK,pruthg,2400,4.0,2.0,152.0
super built up  area,ready to move,attibele,2 BHK,inenshe,850,1.0,1.0,25.0
super built up  area,ready to move,banashankari,2 BHK,koestpt,1200,2.0,1.0,60.0
built up  area,18 dec,"bellandur,",4 BHK,grrvagr,3160,4.0,3.0,206.0
super built up  area,ready to move,hoodi,3 BHK,keers s,1769,3.0,3.0,96.87
plot  area,ready to move,jigani,4 Bedroom,ceeury,133.3Sq. Yards,3.0,2.0,160.0
carpet  area,18 dec,bhoganhalli,4 BHK,rosha i,1554.3,4.0,1.0,131.0
super built up  area,ready to move,haralur road,2 BHK,grrvagr,1243,2.0,2.0,46.0
plot  area,18 apr,2nd block jayanagar,4 Bedroom,grrvagr,4920,5.0,2.0,1150.0
super built up  area,ready to move,mallasandra,2 BHK,shbhi s,905,2.0,1.0,40.0
built up  area,ready to move,kothanur,1 Bedroom,grrvagr,627,1.0,1.0,30.0
built up  area,18 mar,domlur,3 BHK,grrvagr,2180,3.0,2.0,285.0
super built up  area,ready to move,frazer town,3 BHK,grrvagr,2400,3.0,2.0,260.0
super built up  area,ready to move,marathahalli,3 BHK,palanla,1435,3.0,1.0,73.0
super built up  area,22 may,jakkur,4 BHK,soinec,3405.1,6.0,3.0,400.0
built up  area,ready to move,kodihalli,3 BHK,kamesri,1620,3.0,2.0,130.0
super built up  area,ready to move,whitefield,3 BHK,grrvagr,1862,3.0,2.0,125.0
super built up  area,19 nov,kaikondrahalli,2 BHK,grrvagr,674,1.0,1.0,19.9
super built up  area,ready to move,marathahalli,2 BHK,grrvagr,1220,2.0,1.0,59.0
super built up  area,ready to move,electronic city,2 BHK,gmown e,1025,2.0,1.0,49.0
super built up  area,ready to move,thanisandra,3 BHK,menueno,1430,2.0,3.0,54.5
super built up  area,ready to move,panathur,2 BHK,diensso,1235,2.0,3.0,65.0
super built up  area,ready to move,electronics city phase 1,3 BHK,nianabr,1291,2.0,3.0,32.0
super built up  area,ready to move,kanakpura road,3 BHK,puandhi,1498,3.0,2.0,95.0
super built up  area,ready to move,sarjapur  road,3 BHK,adeatlm,2180,3.0,2.0,240.0
super built up  area,18 apr,electronic city,2 BHK,grrvagr,1000,2.0,1.0,29.7
plot  area,ready to move,ejipura,2 Bedroom,grrvagr,922,2.0,1.0,70.0
built up  area,ready to move,victoria layout,2 BHK,grrvagr,850,2.0,1.0,72.0
plot  area,ready to move,new thippasandra,3 Bedroom,grrvagr,750,3.0,2.0,155.0
super built up  area,ready to move,aecs layout,2 BHK,cmhamai,1123,2.0,2.0,64.0
super built up  area,ready to move,raja rajeshwari nagar,2 BHK,grvanun,1235,2.0,1.0,75.0
super built up  area,ready to move,kogilu,2 BHK,grrvagr,1250,2.0,1.0,55.55
plot  area,ready to move,whitefield,4 Bedroom,prrry m,2403,5.0,2.0,360.0
super built up  area,18 nov,sarjapur  road,2 BHK,asastde,984,2.0,1.0,45.91
super built up  area,ready to move,sarjapur  road,2 BHK,puinesu,1305,2.0,1.0,99.0
plot  area,ready to move,attur layout,2 Bedroom,grrvagr,1200,1.0,0.0,65.0
plot  area,ready to move,1st block hrbr layout,3 Bedroom,grrvagr,600,3.0,1.0,90.0
super built up  area,19 jun,hebbal,4 BHK,raard b,2790,5.0,3.0,204.0
super built up  area,ready to move,old madras road,4 BHK,brglede,2010,3.0,2.0,125.0
built up  area,ready to move,electronics city phase 1,2 BHK,grrvagr,995,2.0,0.0,42.0
built up  area,ready to move,varthur road,2 BHK,vrdelit,1277,2.0,2.0,59.0
super built up  area,ready to move,7th phase jp nagar,2 BHK,grrvagr,1236,2.0,2.0,61.33
super built up  area,ready to move,akshaya nagar,2 BHK,dlhtsnd,1265,2.0,3.0,67.0
super built up  area,18 apr,kanakpura road,1 BHK,prarepa,525,2.0,2.0,27.0
built up  area,ready to move,gubbalala,5 BHK,mauiltr,2570,4.0,2.0,141.0
plot  area,ready to move,hennur road,4 Bedroom,grrvagr,2400,5.0,3.0,390.0
super built up  area,ready to move,shikaripalya,3 BHK,altonea,1442,3.0,2.0,56.24
super built up  area,ready to move,ardendale,2 BHK,awharde,1224,2.0,2.0,70.0
super built up  area,ready to move,bellandur,2 BHK,grrvagr,1205,2.0,1.0,59.0
super built up  area,ready to move,richmond town,2 BHK,apusenc,1233,2.0,3.0,100.0
super built up  area,ready to move,5th block hbr layout,2 BHK,grrvagr,1312,2.0,3.0,69.0
super built up  area,ready to move,electronic city,3 BHK,goty  e,1449,3.0,2.0,90.0
super built up  area,ready to move,yelenahalli,2 BHK,nisisn,1090,2.0,1.0,54.0
plot  area,ready to move,kaggadasapura,5 Bedroom,grrvagr,2100,5.0,0.0,150.0
super built up  area,ready to move,uttarahalli,3 BHK,grrvagr,1390,2.0,3.0,62.55
super built up  area,ready to move,jp nagar,2 BHK,srncyya,1200,2.0,3.0,78.0
plot  area,ready to move,mallasandra,4 Bedroom,grrvagr,600,2.0,2.0,50.0
super built up  area,ready to move,btm 2nd stage,2 BHK,vincyat,1000,2.0,2.0,58.0
plot  area,18 oct,devanahalli,4 Bedroom,amais v,2400,5.0,2.0,190.0
super built up  area,21 dec,thanisandra,3 BHK,bhe 2ko,1732,3.0,1.0,85.73
super built up  area,ready to move,banashankari,2 BHK,bregae,1290,2.0,2.0,80.0
super built up  area,ready to move,marasandra,3 BHK,grrvagr,1840,3.0,3.0,85.0
super built up  area,ready to move,thanisandra,3 BHK,bhmesy,1917,4.0,2.0,100.0
built up  area,ready to move,bhuvaneshwari nagar,2 BHK,naaveen,1100,2.0,2.0,57.0
super built up  area,ready to move,kudlu,3 BHK,grrvagr,1455,2.0,3.0,60.0
plot  area,ready to move,haralur road,5 Bedroom,grrvagr,1200,5.0,2.0,255.0
super built up  area,ready to move,devarachikkanahalli,3 BHK,shireru,1425,2.0,2.0,65.0
super built up  area,18 dec,whitefield,3 BHK,prtates,1655,3.0,1.0,113.0
super built up  area,18 mar,haralur road,4 BHK,snnia e,2805,5.0,3.0,160.0
built up  area,ready to move,r.t. nagar,7 Bedroom,grrvagr,600,7.0,3.0,93.0
super built up  area,ready to move,ags layout,2 BHK,grrvagr,1040,2.0,1.0,46.79
super built up  area,ready to move,akshaya nagar,2 BHK,grrvagr,1126,2.0,1.0,55.0
plot  area,ready to move,kodichikkanahalli,6 Bedroom,grrvagr,1600,4.0,1.0,200.0
super built up  area,ready to move,hebbal,2 BHK,grrvagr,1250,2.0,1.0,55.55
plot  area,ready to move,yelahanka,4 Bedroom,inllapa,1800,4.0,2.0,180.0
plot  area,ready to move,kalkere channasandra,2 Bedroom,grrvagr,1200,2.0,0.0,53.0
built up  area,ready to move,ashirvad colony,4 BHK,vmowsea,2050,3.0,1.0,100.0
super built up  area,ready to move,whitefield,1 BHK,uke 2nz,530,1.0,1.0,29.44
built up  area,19 jun,sarjapur,4 Bedroom,caonand,2580 - 2591,4.0,0.0,139.5
super built up  area,ready to move,kambipura,2 BHK,prrtht,883,2.0,1.0,37.0
super built up  area,ready to move,sompura,3 BHK,suiseit,1275,3.0,1.0,59.0
super built up  area,ready to move,doddabanahalli,2 BHK,grrvagr,800,2.0,2.0,30.0
super built up  area,ready to move,devanahalli,1 BHK,grrvagr,1200,1.0,0.0,95.0
super built up  area,ready to move,bellandur,2 BHK,mancyre,1063,2.0,1.0,58.0
super built up  area,ready to move,balagere,1 BHK,soresea,656,1.0,1.0,43.0
super built up  area,ready to move,shakthi nagar,2 BHK,grrvagr,1125,2.0,2.0,36.0
super built up  area,18 dec,marathahalli,2 BHK,unezes,881,2.0,1.0,48.06
plot  area,ready to move,nayandanahalli,9 Bedroom,grrvagr,1350,8.0,2.0,200.0
built up  area,ready to move,bisuvanahalli,2 BHK,prityel,700,1.0,1.0,32.0
plot  area,ready to move,ags layout,3 Bedroom,grrvagr,1936,3.0,0.0,110.0
super built up  area,18 dec,hosa road,3 BHK,sjerse,1680,3.0,1.0,101.0
super built up  area,ready to move,rayasandra,2 BHK,mjeusyl,1253,2.0,2.0,57.0
super built up  area,ready to move,rajaji nagar,3 BHK,brway g,1640,3.0,3.0,230.0
super built up  area,ready to move,mysore road,3 BHK,grrvagr,1082,3.0,2.0,50.0
built up  area,18 dec,electronic city,2 BHK,grrvagr,1065,2.0,1.0,30.75
super built up  area,18 dec,iblur village,3 BHK,dnionfl,2100,4.0,2.0,145.0
super built up  area,ready to move,electronic city,2 BHK,gmown e,1070,2.0,1.0,58.0
super built up  area,16 sep,raja rajeshwari nagar,3 BHK,grrvagr,1280,3.0,2.0,57.6
plot  area,18 apr,6th block koramangala,5 Bedroom,grrvagr,1200,5.0,2.0,300.0
built up  area,18 aug,electronic city phase ii,2 BHK,sryalan,1125,2.0,1.0,29.25
super built up  area,ready to move,sarjapur  road,3 BHK,grrvagr,1755,3.0,2.0,122.0
super built up  area,ready to move,electronic city,2 BHK,dsgmax,1210,2.0,1.0,54.0
super built up  area,18 sep,talaghattapura,2 BHK,grrvagr,951,2.0,2.0,30.43
built up  area,18 apr,electronic city,3 BHK,gmown e,1500,2.0,1.0,75.0
super built up  area,ready to move,coffee board layout,3 BHK,sanstya,1652.5,3.0,2.0,90.0
super built up  area,ready to move,yeshwanthpur,3 BHK,ibityin,1381,2.0,2.0,76.18
super built up  area,18 dec,whitefield,2 BHK,bslasin,1085,2.0,1.0,57.0
super built up  area,18 apr,whitefield,1 BHK,prtates,905,1.0,1.0,50.0
super built up  area,ready to move,hennur road,3 BHK,mitatha,1685,3.0,2.0,95.0
super built up  area,ready to move,somasundara palya,2 BHK,manceel,1200,2.0,2.0,75.0
super built up  area,ready to move,anandapura,2 BHK,viensrk,1151,2.0,1.0,42.9
built up  area,ready to move,brookefield,4 Bedroom,goodsrb,3532,3.0,3.0,170.0
super built up  area,ready to move,kanakpura road,3 BHK,puandhi,1665,3.0,2.0,86.91
built up  area,ready to move,kengeri satellite town,2 BHK,malowr,800,2.0,1.0,40.0
built up  area,ready to move,chamrajpet,2 Bedroom,grrvagr,1050,2.0,1.0,162.0
super built up  area,ready to move,rajiv nagar,2 BHK,ahntyve,1030,2.0,2.0,46.5
super built up  area,ready to move,hoodi,2 BHK,keers s,1257,2.0,1.0,71.03
super built up  area,18 dec,whitefield,3 BHK,bslasin,1600,3.0,2.0,82.0
super built up  area,ready to move,choodasandra,3 BHK,grlpank,1465,3.0,3.0,75.0
super built up  area,ready to move,jakkur,3 BHK,hraniib,1650,3.0,2.0,111.0
built up  area,ready to move,yelahanka new town,2 Bedroom,grrvagr,680,1.0,1.0,80.0
plot  area,18 aug,whitefield,4 Bedroom,grrvagr,1230,4.0,2.0,80.0
super built up  area,ready to move,koramangala,2 BHK,jainaht,1300,2.0,2.0,82.0
built up  area,ready to move,kr puram,2 BHK,hoston,1000,2.0,1.0,44.5
super built up  area,ready to move,mahadevpura,2 BHK,neisei,1146,2.0,1.0,53.8
super built up  area,ready to move,hennagara,6 BHK,grrvagr,1200,6.0,3.0,120.0
super built up  area,18 mar,indira nagar,3 BHK,grrvagr,2601,4.0,2.0,312.0
super built up  area,ready to move,vishwanatha nagenahalli,3 BHK,prbayga,2159,3.0,2.0,110.0
super built up  area,ready to move,whitefield,2 BHK,ssthamh,1255,2.0,2.0,40.0
super built up  area,ready to move,padmanabhanagar,2 BHK,shers s,1200,2.0,1.0,60.0
built up  area,ready to move,sarjapur  road,2 BHK,arineun,1040,2.0,1.0,37.0
plot  area,ready to move,tc palaya,8 Bedroom,grrvagr,1500,8.0,2.0,150.0
plot  area,ready to move,byrathi village,4 Bedroom,grrvagr,906,3.0,2.0,55.0
super built up  area,ready to move,uttarahalli,2 BHK,shony s,1180,2.0,1.0,41.3
plot  area,ready to move,ullal uppanagar,7 Bedroom,grrvagr,1200,7.0,2.0,169.0
plot  area,ready to move,govindpura,6 Bedroom,grrvagr,850,7.0,2.0,100.0
super built up  area,ready to move,kr puram,2 BHK,grrvagr,1200,2.0,3.0,47.0
built up  area,ready to move,sarjapur  road,3 BHK,mjinele,1374,3.0,2.0,51.0
super built up  area,ready to move,vidyaranyapura,9 BHK,grrvagr,4700,10.0,3.0,130.0
super built up  area,19 dec,whitefield,1 BHK,goted u,613 - 648,1.0,0.0,32.15
plot  area,ready to move,south,3 Bedroom,grrvagr,2400,2.0,0.0,480.0
plot  area,ready to move,ittamadu,5 Bedroom,grrvagr,1200,4.0,2.0,130.0
super built up  area,ready to move,jalahalli,3 BHK,tahtsla,2384,4.0,2.0,165.0
super built up  area,19 aug,electronic city,3 BHK,grrvagr,1033,2.0,2.0,28.41
super built up  area,ready to move,yelahanka,2 BHK,neite t,1200,2.0,1.0,54.0
built up  area,ready to move,haralur road,3 BHK,ndionas,2017,3.0,2.0,105.0
plot  area,ready to move,rainbow drive,3 Bedroom,grrvagr,1500,3.0,2.0,138.0
super built up  area,ready to move,kamala nagar,2 BHK,grrvagr,700,2.0,0.0,43.0
plot  area,ready to move,shampura,6 Bedroom,grrvagr,1150,6.0,2.0,75.0
super built up  area,ready to move,kanakpura road,3 BHK,grrvagr,1495,2.0,2.0,52.33
super built up  area,ready to move,kothanur,2 BHK,grrvagr,1302,2.0,1.0,68.5
built up  area,18 mar,whitefield,1 BHK,prtates,905,1.0,1.0,52.0
super built up  area,ready to move,raja rajeshwari nagar,2 BHK,grrvagr,1303,2.0,1.0,55.79
built up  area,ready to move,electronics city phase 1,3 BHK,grrvagr,1350,3.0,0.0,71.0
super built up  area,ready to move,gottigere,3 BHK,smshi m,1380,2.0,2.0,95.0
super built up  area,ready to move,harlur,3 BHK,shodsir,1620,3.0,1.0,110.0
built up  area,ready to move,chandapura,4 Bedroom,grrvagr,4800,4.0,3.0,250.0
super built up  area,ready to move,sarjapur  road,2 BHK,maager,1000,2.0,1.0,38.5
plot  area,ready to move,ramamurthy nagar,3 Bedroom,grrvagr,800,4.0,0.0,88.0
super built up  area,18 apr,thanisandra,2 BHK,grrvagr,1250,1.0,1.0,54.0
built up  area,ready to move,3rd block koramangala,3 BHK,grrvagr,1750,3.0,3.0,170.0
super built up  area,ready to move,anekal,3 BHK,grrvagr,997,3.0,2.0,55.0
super built up  area,15 oct,kothanur,3 BHK,somumys,1760,3.0,2.0,111.0
super built up  area,ready to move,yelahanka,2 BHK,puziave,1322,2.0,2.0,75.0
plot  area,ready to move,kanaka nagar,3 Bedroom,grrvagr,1365,3.0,0.0,99.0
super built up  area,ready to move,sahakara nagar,3 BHK,hoacela,1500,3.0,2.0,125.0
super built up  area,ready to move,kaggadasapura,3 BHK,mancya,1256,2.0,2.0,50.0
super built up  area,ready to move,brookefield,2 BHK,neestna,941,2.0,2.0,48.0
plot  area,ready to move,devanahalli,4 Bedroom,soacyst,5000,4.0,3.0,465.0
super built up  area,ready to move,kanakpura road,3 BHK,puandhi,1665,3.0,2.0,86.58
super built up  area,ready to move,hennur road,2 BHK,chionco,1414,2.0,2.0,84.18
super built up  area,ready to move,chikkalasandra,3 BHK,grrvagr,1270,2.0,3.0,55.25
plot  area,ready to move,madiwala,3 Bedroom,grrvagr,800,2.0,2.0,80.0
plot  area,ready to move,kengeri satellite town,4 Bedroom,grrvagr,4100,3.0,0.0,300.0
built up  area,ready to move,mathikere,6 Bedroom,grrvagr,1800,3.0,2.0,105.0
super built up  area,21 mar,kanakpura road,1 BHK,golusli,712,1.0,1.0,38.44
super built up  area,17 dec,rajaji nagar,4 BHK,prodswe,2563 - 2733,5.0,0.0,251.5
plot  area,ready to move,basaveshwara nagar yelahanka,3 Bedroom,grrvagr,900,4.0,2.0,180.0
super built up  area,ready to move,hebbal,2 BHK,thuse f,1200,2.0,1.0,49.0
super built up  area,ready to move,kengeri satellite town,1 BHK,grrvagr,654,1.0,1.0,22.0
super built up  area,ready to move,peenya,2 BHK,grrvagr,708,1.0,1.0,55.0
plot  area,ready to move,singapura village,4 Bedroom,grrvagr,600,5.0,3.0,75.0
built up  area,ready to move,wilson garden,3 BHK,saagewi,1680,3.0,3.0,135.0
super built up  area,ready to move,jakkasandra extension,2 BHK,grrvagr,990,2.0,2.0,58.0
super built up  area,ready to move,uttarahalli,2 BHK,suitea,1380,2.0,1.0,42.0
super built up  area,18 may,hebbal,2 BHK,arcia s,1088,2.0,2.0,62.0
super built up  area,ready to move,harlur,3 BHK,zonce e,1414,3.0,2.0,77.5
built up  area,ready to move,seshadripuram,2 BHK,grrvagr,1240,2.0,1.0,100.0
built up  area,ready to move,ganesha block,3 BHK,grrvagr,1810,3.0,3.0,118.0
super built up  area,19 dec,4th block jayanagar,3 BHK,grrvagr,2005,3.0,2.0,240.0
super built up  area,ready to move,kothanur,2 BHK,grrvagr,1185,2.0,2.0,58.0
plot  area,18 oct,whitefield,3 Bedroom,grrvagr,1200,3.0,2.0,57.15
super built up  area,ready to move,shikaripalya,2 BHK,maenara,1265,2.0,1.0,58.0
built up  area,ready to move,sahakara nagar,2 BHK,grrvagr,1100,2.0,1.0,55.0
built up  area,ready to move,friends colony,2 BHK,siidsga,1035,2.0,2.0,44.0
super built up  area,ready to move,sonnenahalli,1 BHK,skacak,605 - 624,1.0,0.0,30.715
built up  area,ready to move,2nd block jayanagar,2 BHK,grrvagr,1000,2.0,1.0,97.0
super built up  area,ready to move,hegde nagar,2 BHK,grrvagr,1179,2.0,2.0,49.35
super built up  area,ready to move,vittasandra,3 BHK,prlla c,1650,3.0,1.0,84.0
plot  area,ready to move,malur hosur road,6 Bedroom,grrvagr,2800,4.0,3.0,100.0
plot  area,ready to move,lakshmipura vidyaanyapura,8 Bedroom,grrvagr,3500,6.0,2.0,120.0
built up  area,ready to move,nagaraja garden,3 BHK,grrvagr,1430,3.0,1.0,78.65
super built up  area,ready to move,marathahalli,3 BHK,thowsil,1130,2.0,2.0,58.0
super built up  area,ready to move,jp nagar,3 BHK,suncyre,1850,2.0,2.0,110.0
super built up  area,ready to move,hennur,3 BHK,grrvagr,1340,3.0,2.0,54.24
super built up  area,ready to move,sarjapur  road,4 BHK,klark l,4260 - 4408,2.0,2.0,338.0
plot  area,ready to move,nagawara junction,2 Bedroom,grrvagr,600,2.0,0.0,30.0
super built up  area,ready to move,banashankari,3 BHK,prdgeso,2582,5.0,2.0,250.0
super built up  area,ready to move,channasandra,2 BHK,grrvagr,1160,2.0,1.0,55.0
built up  area,ready to move,hegganahalli,1 Bedroom,grrvagr,1200,2.0,1.0,45.0
built up  area,18 aug,rajanna layout,2 BHK,grrvagr,1116,2.0,1.0,37.6
plot  area,ready to move,nagarbhavi  bda complex,3 Bedroom,grrvagr,600,2.0,1.0,85.0
super built up  area,ready to move,sarakki nagar,3 BHK,sowerew,2663,4.0,1.0,338.0
built up  area,ready to move,devasthanagalu,2 BHK,cmhidal,1090,2.0,2.0,45.0
super built up  area,ready to move,jp nagar,2 BHK,dsillto,1100,2.0,1.0,45.0
super built up  area,18 aug,kammasandra,3 BHK,dsoakil,1365,2.0,1.0,34.13
super built up  area,20 feb,vijayanagar,3 BHK,saahaat,1484,3.0,2.0,79.19
super built up  area,ready to move,green glen layout,3 BHK,prodsm,1630,3.0,2.0,68.0
super built up  area,18 may,whitefield,3 BHK,smuilan,1451,2.0,2.0,52.43
super built up  area,19 jul,kanakpura road,2 BHK,soazak,1330,2.0,1.0,107.0
super built up  area,ready to move,thanisandra,3 BHK,nrncyrk,2127,3.0,2.0,135.0
plot  area,ready to move,adityanagar,5 Bedroom,grrvagr,875,5.0,3.0,120.0
plot  area,ready to move,hallehalli,4 Bedroom,grrvagr,1260,4.0,2.0,65.0
super built up  area,ready to move,sarjapur  road,3 BHK,mjinele,1173,2.0,2.0,45.75
super built up  area,ready to move,electronics city phase 1,3 BHK,grrvagr,1445,2.0,1.0,56.0
super built up  area,ready to move,jayamahal extension,4 BHK,grrvagr,2250,4.0,1.0,400.0
plot  area,18 dec,bannerghatta road,3 Bedroom,putere,1500,4.0,2.0,239.0
super built up  area,18 nov,thanisandra,3 BHK,bhe 2ko,1349 - 3324,3.0,0.0,115.89
super built up  area,ready to move,jp nagar,2 BHK,mbncyh,1197,2.0,1.0,47.88
plot  area,ready to move,2nd stage nagarbhavi,4 Bedroom,grrvagr,1200,4.0,1.0,225.0
super built up  area,ready to move,sarjapur  road,5 BHK,maana e,3930,7.0,2.0,329.0
super built up  area,ready to move,kanakpura road,3 BHK,jrrnauv,1450,3.0,3.0,62.4
super built up  area,ready to move,whitefield,2 BHK,smuilan,1187,2.0,1.0,37.85
plot  area,ready to move,wilson garden,6 Bedroom,grrvagr,4000,6.0,3.0,850.0
super built up  area,18 aug,channasandra,2 BHK,grrvagr,1050,2.0,2.0,41.0
super built up  area,18 may,panathur,3 BHK,saite g,1370,2.0,2.0,54.8
super built up  area,ready to move,yelahanka,2 BHK,pyikad,1036,2.0,2.0,39.37
super built up  area,18 jun,jp nagar,3 BHK,grrvagr,1275,3.0,2.0,41.2
super built up  area,ready to move,old madras road,4 BHK,brglede,2010,3.0,2.0,115.0
super built up  area,ready to move,thanisandra,2 BHK,menueno,1265,2.0,2.0,46.6
super built up  area,ready to move,anandapura,3 BHK,viensrk,1576,3.0,2.0,58.0
super built up  area,ready to move,dodda nekkundi,2 BHK,grrvagr,1148,2.0,1.0,56.0
super built up  area,ready to move,green view layout,2 BHK,makeser,1000,2.0,1.0,36.0
super built up  area,ready to move,kudlu,3 BHK,mjinala,1293,2.0,2.0,85.0
plot  area,18 may,tc palaya,3 Bedroom,grrvagr,1200,2.0,0.0,66.0
super built up  area,ready to move,munnekollal,2 BHK,keids o,1210,2.0,3.0,75.0
built up  area,ready to move,hsr layout,2 BHK,sruntfa,1126,2.0,1.0,69.0
built up  area,ready to move,sarakki nagar,3 BHK,grrvagr,1840,4.0,1.0,175.0
built up  area,ready to move,vidyaranyapura,3 BHK,dsestil,1440,2.0,0.0,70.0
built up  area,ready to move,ramamurthy nagar,3 BHK,samesho,1300,2.0,2.0,52.0
super built up  area,ready to move,thanisandra,2 BHK,bhmesy,1276,2.0,2.0,75.0
plot  area,ready to move,gidada konnenahalli,6 Bedroom,grrvagr,600,4.0,2.0,105.0
super built up  area,ready to move,whitefield,2 BHK,prtates,1216,2.0,1.0,83.0
super built up  area,18 apr,marenahalli,1 BHK,grrvagr,840,1.0,0.0,75.0
plot  area,ready to move,sector 1 hsr layout,5 Bedroom,grrvagr,1240,5.0,3.0,300.0
built up  area,ready to move,sompura,2 BHK,suiseit,1126,2.0,2.0,39.0
plot  area,ready to move,mysore road,1 Bedroom,grrvagr,45,1.0,0.0,23.0
